NAME;RECORD;NICKNAME;HEIGHT;WEIGHT;REACH;STANCE;DOB;SLpM;Str Acc;SApM;Str Def;TD Avg;TD Acc;TD Def;Sub Avg
Kit Cope;6-7-0;Havoc;"6' 0""";170 lbs.;--;Orthodox;Mar 17, 1977;1.18;52 %;2.12;35 %;0.0;0 %;50 %;3.5
Chris Cope;8-4-0;C-Murder;"6' 0""";170 lbs.;"72""";Orthodox;Mar 05, 1983;3.96;26 %;4.82;50 %;0.0;0 %;80 %;0.0
Josh Copeland;12-4-0;Cuddly Bear;"6' 1""";265 lbs.;--;Orthodox;Oct 20, 1982;1.03;31 %;3.01;55 %;0.0;0 %;57 %;0.0
Michael Cora;4-1-0;Kookie Monster;"6' 1""";170 lbs.;"77""";Southpaw;Aug 24, 1989;0.8;28 %;0.13;66 %;0.0;0 %;25 %;0.0
Akira Corassani;12-6-0 (1 NC);;"5' 8""";145 lbs.;"68""";Orthodox;Aug 27, 1982;3.25;45 %;4.91;50 %;0.7;28 %;86 %;0.0
Muhsin Corbbrey;17-9-0;;"5' 10""";155 lbs.;--;Orthodox;May 18, 1978;2.02;34 %;5.41;53 %;0.0;0 %;80 %;0.4
Alden Coria;11-3-0 (1 NC);Cobra;"5' 8""";125 lbs.;"67""";Orthodox;Apr 24, 1998;3.89;44 %;1.11;78 %;2.78;100 %;75 %;0.0
Daniel Cormier;22-3-0 (1 NC);DC;"5' 11""";235 lbs.;"72""";Orthodox;Mar 20, 1979;4.25;52 %;2.92;54 %;1.83;44 %;80 %;0.4
Nora Cornolle;9-3-0;;"5' 7""";135 lbs.;"67""";Orthodox;Dec 06, 1989;2.75;54 %;1.98;58 %;0.25;11 %;47 %;0.2
Clint Coronel;2-5-0;;--;155 lbs.;--;;Jun 15, 1981;4.93;32 %;5.6;66 %;0.0;0 %;66 %;0.0
Henry Corrales;13-3-0;;"5' 9""";145 lbs.;--;;--;4.12;41 %;5.84;55 %;0.0;0 %;69 %;0.0
Bethe Correia;11-6-1;Pitbull;"5' 5""";135 lbs.;"64""";Orthodox;Jun 22, 1983;4.37;43 %;4.93;56 %;0.39;18 %;85 %;0.0
Wesley Correira;20-16-0;Cabbage;"6' 3""";260 lbs.;--;Orthodox;Nov 11, 1978;2.6;36 %;8.8;40 %;0.0;0 %;90 %;0.0
Waldo Cortes-Acosta;14-2-0;Salsa Boy;"6' 4""";260 lbs.;"78""";Orthodox;Oct 03, 1991;5.61;48 %;3.51;55 %;0.37;50 %;71 %;0.1
Tracy Cortez;12-2-0;;"5' 5""";125 lbs.;"65""";Orthodox;Dec 10, 1993;3.79;49 %;2.84;57 %;2.19;47 %;62 %;0.3
Reyes Cortez Jr.;7-3-0;;"5' 7""";135 lbs.;"68""";Orthodox;Jul 31, 1992;4.1;45 %;7.43;52 %;1.5;11 %;100 %;0.0
Chad Corvin;5-0-0;The Brave Warrior;"6' 5""";255 lbs.;--;;--;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
Louis Cosce;7-2-0;;"5' 9""";170 lbs.;"71""";Orthodox;Aug 27, 1995;4.31;45 %;5.35;47 %;1.04;20 %;50 %;0.5
Orion Cosce;8-2-0;Galaxy;"5' 11""";170 lbs.;"71""";Switch;Jul 15, 1994;2.77;53 %;4.02;44 %;1.92;40 %;61 %;0.0
Miguel Cosio;1-13-0;;"6' 4""";205 lbs.;--;;Feb 18, 1981;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
Jadson Costa;22-8-0 (1 NC);;"5' 7""";155 lbs.;--;Orthodox;Nov 18, 1980;0.2;50 %;3.05;50 %;0.0;0 %;0 %;0.0
Guilherme Costa;7-1-0;The Prodigy;--;155 lbs.;--;;--;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
Paulo Costa;15-4-0;The Eraser;"6' 1""";185 lbs.;"72""";Orthodox;Apr 21, 1991;6.26;58 %;6.2;49 %;0.32;50 %;80 %;0.0
Randy Costa;6-4-0;The Zohan;"5' 9""";135 lbs.;"73""";Switch;Jul 06, 1994;6.53;46 %;7.58;58 %;0.0;0 %;50 %;0.0
Alessandro Costa;14-5-0;Nono;"5' 4""";125 lbs.;"67""";Orthodox;Jan 28, 1996;3.64;44 %;3.57;57 %;0.46;16 %;83 %;0.5
Melquizael Costa;24-7-0;Melk Cauthy;"5' 10""";145 lbs.;"71""";Southpaw;Sep 14, 1996;4.44;49 %;3.09;54 %;1.96;38 %;58 %;1.2
Vitor Costa;8-2-0;;"6' 2""";185 lbs.;"75""";Orthodox;Sep 19, 2000;7.36;54 %;9.62;50 %;0.0;0 %;0 %;0.0
Oscar Cota;11-3-0 (1 NC);Elevation;"6' 0""";230 lbs.;"72""";Orthodox;Oct 15, 1984;0.33;41 %;2.47;41 %;0.0;0 %;60 %;1.0
Patrick Cote;23-11-0;The Predator;"5' 11""";170 lbs.;"75""";Orthodox;Feb 29, 1980;2.81;48 %;3.21;48 %;0.68;20 %;43 %;0.2
JC Cottrell;17-5-0;;"5' 9""";155 lbs.;--;Orthodox;Nov 04, 1989;0.79;25 %;2.75;45 %;0.79;100 %;50 %;0.0
JR Coughran;4-1-0;Bam Bam;"5' 6""";145 lbs.;--;Orthodox;May 17, 1994;12.29;57 %;6.8;45 %;0.0;0 %;75 %;0.0
Rashad Coulter;9-4-0;Daywalker;"5' 11""";205 lbs.;"76""";Orthodox;Nov 27, 1981;4.82;56 %;6.68;50 %;0.0;0 %;62 %;0.0
Dave Courchaine;20-7-0;;"5' 8""";170 lbs.;--;;Feb 08, 1983;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
Randy Couture;19-11-0;The Natural;"6' 1""";205 lbs.;"75""";Orthodox;Jun 22, 1963;2.85;57 %;1.53;59 %;2.78;46 %;58 %;0.5
Kim Couture;3-8-0;Sugar Free;"5' 8""";135 lbs.;--;Orthodox;Dec 18, 1975;12.12;80 %;2.31;69 %;0.0;0 %;0 %;0.0
Ryan Couture;11-5-0;;"5' 10""";155 lbs.;"73""";Orthodox;Aug 27, 1982;3.54;45 %;2.87;54 %;1.55;29 %;46 %;1.3
Nikk Covert;3-4-0;The Brick;"5' 8""";185 lbs.;--;;Aug 04, 1969;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
Colby Covington;17-5-0;Chaos;"5' 11""";170 lbs.;"72""";Orthodox;Feb 22, 1988;3.81;38 %;3.09;54 %;3.64;42 %;68 %;0.2
Hailey Cowan;7-4-0;All Hail;"5' 8""";135 lbs.;"67""";Southpaw;Feb 12, 1992;2.5;42 %;2.79;33 %;1.63;36 %;80 %;0.0
Jeff Cox;10-7-0;The Grinder;"5' 10""";155 lbs.;--;Orthodox;Aug 02, 1968;0.56;25 %;1.69;33 %;4.23;50 %;80 %;0.0
Nathan Coy;15-7-0;Soulforce;"5' 10""";170 lbs.;"69""";Southpaw;Jul 24, 1978;3.88;52 %;2.4;61 %;3.17;47 %;50 %;0.0
Andrew Craig;9-4-0;Highlight;"6' 1""";170 lbs.;"76""";Orthodox;Jan 15, 1986;2.39;40 %;3.01;50 %;0.53;37 %;72 %;0.0
Paul Craig;17-10-1 (1 NC);Bearjew;"6' 3""";205 lbs.;"76""";Orthodox;Nov 27, 1987;2.5;45 %;3.04;43 %;1.43;18 %;35 %;1.3
Dan Cramer;11-4-0;;"6' 2""";170 lbs.;--;Orthodox;Oct 31, 1985;0.97;30 %;2.1;31 %;0.0;0 %;66 %;0.5
Alberto Crane;15-5-0;;"5' 5""";155 lbs.;--;Orthodox;Jul 14, 1976;0.43;25 %;2.61;57 %;0.0;0 %;50 %;4.0
Tim Credeur;12-4-0;;"6' 3""";185 lbs.;"75""";Orthodox;Jul 09, 1977;3.59;30 %;3.13;57 %;0.41;100 %;50 %;3.3
Paul Creighton;3-1-0;;"5' 6""";155 lbs.;--;Southpaw;Jun 04, 1970;0.72;75 %;4.65;30 %;5.37;37 %;0 %;0.0
Helena Crevar;0-0-0;;--;--;--;;--;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
Alexander Crispim;8-6-0;;--;145 lbs.;--;;--;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
Alex Crispin;0-1-0;;--;155 lbs.;--;;--;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
Melissa Croden;7-2-0;Scare;--;135 lbs.;--;Orthodox;Apr 12, 1991;6.81;56 %;2.89;54 %;2.06;66 %;75 %;0.0
Kevin Croom;21-15-0 (1 NC);Crash;"5' 11""";135 lbs.;"73""";Orthodox;Jul 15, 1987;2.65;34 %;3.1;41 %;0.48;5 %;30 %;0.5
Kiefer Crosbie;10-6-0;BDK;"5' 11""";170 lbs.;"70""";Switch;Apr 05, 1990;4.46;64 %;5.8;46 %;0.0;0 %;40 %;0.0
Ken Cross;11-3-0;The Boss;"6' 0""";155 lbs.;"72""";Southpaw;Oct 04, 1994;2.2;57 %;1.4;55 %;1.0;12 %;66 %;0.0
Jeff Crotty;1-1-0;;--;155 lbs.;--;;--;0.93;35 %;3.33;54 %;5.0;38 %;0 %;1.0
Allen Crowder;10-4-0 (1 NC);Pretty Boy;"6' 3""";245 lbs.;"76""";Orthodox;Nov 08, 1989;2.95;51 %;2.95;56 %;1.85;33 %;100 %;1.2
Daron Cruickshank;18-10-0 (1 NC);Detroit Superstar;"5' 8""";155 lbs.;"72""";Switch;Jun 11, 1985;2.88;38 %;2.98;57 %;2.04;41 %;60 %;0.2
Richard Crunkilton;19-4-0;Cleat;"5' 7""";155 lbs.;--;Orthodox;Nov 25, 1979;1.72;41 %;1.45;58 %;4.08;61 %;65 %;1.3
Jimmy Crute;14-4-2;;"6' 2""";205 lbs.;"74""";Orthodox;Mar 04, 1996;4.15;52 %;3.65;42 %;4.39;52 %;58 %;2.0
Marcio Cruz;8-3-0;Pe de Pano;"6' 4""";232 lbs.;--;Orthodox;Apr 24, 1978;2.92;46 %;1.51;68 %;0.53;7 %;37 %;1.6
Dominick Cruz;24-4-0;The Dominator;"5' 8""";135 lbs.;"68""";Orthodox;Mar 09, 1985;3.91;33 %;2.61;70 %;2.82;42 %;83 %;0.1
Aalon Cruz;8-4-0;;"6' 0""";145 lbs.;"78""";Switch;Sep 20, 1989;7.58;39 %;8.88;58 %;0.0;0 %;0 %;0.0
Timmy Cuamba;9-3-0;Twilight;"5' 9""";135 lbs.;"71""";Orthodox;Feb 08, 1999;3.12;42 %;4.3;58 %;1.11;26 %;80 %;0.0
Jay Cucciniello;8-1-0;;"5' 7""";155 lbs.;--;Orthodox;Jul 23, 1986;0.93;21 %;4.73;36 %;0.0;0 %;71 %;0.0
Emilio Cuellar;6-1-0;Show Kid;--;125 lbs.;--;;--;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
Josh Culibao;11-4-1;Kuya;"5' 10""";145 lbs.;"73""";Orthodox;May 24, 1994;3.41;44 %;3.04;59 %;0.0;0 %;65 %;0.3
Chris Culley;20-15-0;;--;145 lbs.;--;;Mar 25, 1986;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
Abel Cullum;20-6-0;The Silent Assassin;"5' 7""";139 lbs.;--;Orthodox;Apr 21, 1987;1.82;40 %;1.23;46 %;4.01;52 %;0 %;2.8
Zak Cummings;25-7-0;;"6' 0""";205 lbs.;"75""";Southpaw;Aug 02, 1984;2.96;35 %;2.91;55 %;0.62;28 %;66 %;0.6
Everett Cummings;12-0-0;;--;205 lbs.;--;;--;0.43;60 %;4.34;45 %;0.0;0 %;0 %;2.2
Patrick Cummins;10-7-0;Durkin;"6' 2""";205 lbs.;"76""";Orthodox;Nov 16, 1980;4.26;50 %;3.35;55 %;4.49;41 %;28 %;0.1
Luke Cummo;6-6-0;;"6' 0""";170 lbs.;"74""";Orthodox;Apr 27, 1980;1.74;43 %;1.5;59 %;0.89;55 %;42 %;1.4
Hugo Cunha;8-2-0;Silverback;"6' 3""";263 lbs.;"79""";Orthodox;Feb 04, 1993;0.6;30 %;3.01;34 %;0.0;0 %;0 %;0.0
Alton Cunningham;4-2-0;The Bo-Man;"6' 2""";205 lbs.;"77""";Orthodox;Jun 24, 1993;3.33;75 %;4.94;20 %;1.67;10 %;100 %;0.0
AJ Cunningham;11-5-0;The Savage;"5' 10""";135 lbs.;"71""";Orthodox;Sep 07, 1994;4.22;29 %;6.31;48 %;0.0;0 %;46 %;0.5
Tommy Cuozzi Jr.;8-1-0;Little T;"5' 9""";145 lbs.;"71""";Orthodox;Aug 31, 1999;2.43;17 %;14.22;34 %;0.0;0 %;0 %;0.0
Santo Curatolo;6-2-0;;"5' 3""";125 lbs.;"62""";Southpaw;Jan 18, 1995;1.4;39 %;6.07;34 %;2.0;33 %;100 %;0.0
Larry Cureton;0-2-0;;"6' 2""";240 lbs.;--;Orthodox;--;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
Jeff Curran;36-18-1;Big Frog;"5' 6""";135 lbs.;"69""";Orthodox;Sep 02, 1977;1.54;31 %;2.48;60 %;0.35;12 %;35 %;1.2
Kailin Curran;4-5-0;;"5' 4""";115 lbs.;"65""";Orthodox;Apr 11, 1991;3.89;43 %;4.75;53 %;2.0;57 %;61 %;0.6
Pat Curran;22-7-0;Paddy Mike;"5' 9""";145 lbs.;--;;Aug 31, 1987;4.7;58 %;4.4;63 %;2.5;62 %;66 %;0.0
Will Currie;12-4-0;Drago;"6' 3""";185 lbs.;"76""";Switch;Nov 12, 1998;2.73;47 %;5.67;44 %;2.0;13 %;50 %;0.0
Chris Curtis;32-12-0 (1 NC);Action-Man;"5' 10""";170 lbs.;"75""";Orthodox;Jul 15, 1987;5.98;50 %;6.19;54 %;0.0;0 %;82 %;0.0
Ion Cutelaba;19-11-1 (1 NC);The Hulk;"6' 1""";205 lbs.;"75""";Southpaw;Dec 14, 1993;4.26;43 %;3.34;47 %;3.77;49 %;75 %;0.1
Gleidson Cutis;7-4-0;Poney;"5' 9""";155 lbs.;--;Orthodox;Feb 07, 1989;2.99;52 %;8.28;59 %;0.0;0 %;0 %;0.0
Sarah D'alelio;11-7-0;The Monster;"5' 7""";145 lbs.;--;;Dec 13, 1980;2.4;33 %;0.0;100 %;0.0;0 %;100 %;0.0
Marcos da Matta;11-3-0;Parrumpinha;"5' 4""";145 lbs.;--;;Mar 18, 1973;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
Henrique da Silva;14-5-0;Frankenstein;"6' 3""";205 lbs.;"76""";Orthodox;Sep 01, 1989;3.89;60 %;5.28;40 %;0.25;14 %;22 %;0.2
Ariane da Silva;17-11-0;Queen of Violence;"5' 6""";125 lbs.;"67""";Orthodox;Jan 26, 1994;4.05;41 %;4.4;50 %;0.47;38 %;68 %;0.3
Alex Da Silva;21-4-0;Leko;"5' 8""";155 lbs.;"73""";Orthodox;Feb 04, 1996;2.14;46 %;2.52;56 %;1.97;43 %;76 %;0.3
Radley Da Silva;8-1-0;Snake Eyes;"5' 9""";145 lbs.;"71""";Orthodox;Jun 20, 1995;0.27;22 %;0.93;48 %;6.0;100 %;100 %;0.0
Henrique Da Silva Lopes;5-2-0;Montanha;"6' 3""";240 lbs.;--;;Mar 08, 1985;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
Deni Daffa;6-2-0;;"6' 0""";155 lbs.;"74""";Orthodox;Sep 08, 1999;3.47;38 %;6.45;38 %;0.0;0 %;0 %;0.0
Nicolas Dalby;23-6-1 (2 NC);Danish Dynamite;"5' 11""";170 lbs.;"74""";Orthodox;Nov 16, 1984;4.05;43 %;3.69;52 %;0.98;27 %;58 %;0.1
Paul Daley;39-15-2;Semtex;"5' 9""";170 lbs.;"76""";Orthodox;Feb 21, 1983;3.14;47 %;2.37;60 %;0.91;40 %;64 %;0.0
Dave Dalgliesh;30-19-2;;"6' 2""";205 lbs.;--;Orthodox;Apr 05, 1978;0.0;0 %;1.85;50 %;0.0;0 %;0 %;0.0
Richard Dalton;4-3-1;;"6' 1""";205 lbs.;--;Orthodox;Jul 19, 1977;1.2;69 %;3.27;25 %;1.0;11 %;0 %;0.0
Aisling Daly;16-6-0;Ais the Bash;"5' 2""";115 lbs.;"64""";Orthodox;Dec 24, 1987;2.92;52 %;1.4;55 %;2.15;41 %;33 %;0.9
Marko Damiani;0-2-0;;"6' 0""";170 lbs.;--;;--;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
Leonardo Damiani;10-3-1;Puppy;"5' 10""";170 lbs.;"69""";Orthodox;Aug 30, 1990;1.67;23 %;4.17;37 %;0.0;0 %;50 %;0.0
Rodrigo Damm;13-9-0;;"5' 7""";155 lbs.;"71""";Orthodox;Feb 03, 1980;3.5;36 %;5.61;57 %;0.44;16 %;80 %;0.3
Carina Damm;2-13-0;Beauty But the Beast;"5' 4""";135 lbs.;--;;--;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
Batgerel Danaa;12-5-0;Storm;"5' 7""";135 lbs.;"70""";Orthodox;Jul 04, 1989;5.38;36 %;4.21;47 %;0.52;50 %;62 %;0.0
Cindy Dandois;8-3-0;Battlecat;"5' 7""";135 lbs.;--;Orthodox;Oct 26, 1984;3.13;32 %;3.4;58 %;5.0;55 %;0 %;0.0
Peter Danesoe;8-4-0;The Asian Viking;"5' 9""";135 lbs.;"68""";Orthodox;Sep 01, 2000;4.99;52 %;6.73;38 %;0.0;0 %;62 %;0.0
Jarjis Danho;7-1-1 (1 NC);Man Mountain;"6' 3""";265 lbs.;"74""";Orthodox;Oct 15, 1983;3.38;50 %;5.25;49 %;0.51;16 %;100 %;0.0
Jose Daniel Medina;11-6-0;Chicho;"6' 0""";185 lbs.;"74""";Orthodox;May 17, 1991;2.16;36 %;5.07;46 %;0.4;33 %;27 %;0.0
Raymond Daniels;0-1-0;;"6' 2""";185 lbs.;--;Southpaw;Apr 29, 1980;0.0;0 %;2.61;38 %;0.0;0 %;33 %;3.0
Marques Daniels;5-5-0;;--;155 lbs.;--;;Jun 14, 1978;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
Anvarbek Daniyalbekov;8-0-0;;--;185 lbs.;--;;May 27, 1995;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
Alexandre Dantas;0-3-0;Cafe;"6' 2""";238 lbs.;--;Orthodox;Mar 01, 1979;0.21;25 %;1.87;60 %;0.0;0 %;0 %;3.1
Eduardo Dantas;20-4-0;Dudu;"5' 10""";135 lbs.;--;;Feb 03, 1989;3.33;60 %;3.0;60 %;4.0;23 %;100 %;0.0
Mac Danzig;21-12-1;;"5' 8""";155 lbs.;"70""";Orthodox;Jan 02, 1980;3.39;48 %;3.44;57 %;1.2;37 %;46 %;0.6
Karen Darabedyan;13-6-0;;"5' 7""";155 lbs.;"68""";Orthodox;Dec 18, 1986;3.43;51 %;2.62;67 %;2.14;75 %;0 %;0.0
Beneil Dariush;23-6-1;;"5' 10""";155 lbs.;"72""";Southpaw;May 06, 1989;3.78;49 %;2.61;57 %;2.12;38 %;82 %;0.8
Sean Daugherty;0-2-0;;"6' 0""";175 lbs.;--;;Dec 04, 1975;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
Kyle Daukaus;16-4-0 (1 NC);;"6' 2""";185 lbs.;"76""";Southpaw;Feb 27, 1993;3.25;53 %;2.93;42 %;2.11;25 %;82 %;1.9
Chris Daukaus;12-7-0;;"6' 3""";205 lbs.;"76""";Orthodox;Sep 25, 1989;6.05;50 %;4.64;55 %;0.0;0 %;100 %;0.0
Brian Davidson;13-4-0;;"5' 6""";145 lbs.;--;;Nov 22, 1975;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
Rick Davis;3-1-1;The Flying Squirrel;"5' 9""";155 lbs.;--;Orthodox;--;3.09;50 %;6.19;64 %;0.0;0 %;0 %;0.0
Marcus Davis;22-11-0 (1 NC);The Irish Hand Grenade;"5' 10""";170 lbs.;"70""";Southpaw;Aug 24, 1973;2.72;39 %;2.79;65 %;1.6;48 %;47 %;1.4
LC Davis;23-8-0;;"5' 8""";135 lbs.;"69""";Southpaw;Oct 28, 1980;2.04;30 %;2.1;59 %;2.27;46 %;66 %;0.2
Phil Davis;17-4-0 (1 NC);Mr. Wonderful;"6' 2""";205 lbs.;"79""";Orthodox;Sep 25, 1984;2.85;34 %;1.33;72 %;2.99;38 %;72 %;0.6
Lemont Davis;2-6-0;;"5' 8""";170 lbs.;--;Orthodox;--;0.87;54 %;1.27;55 %;1.0;50 %;0 %;1.0
Mike Davis;2-0-0;;--;--;--;;--;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
Justin Davis;13-16-0;Dangerous;"5' 11""";205 lbs.;--;;Apr 01, 1983;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
Alexis Davis;21-11-0;;"5' 6""";135 lbs.;"68""";Orthodox;Oct 04, 1984;4.63;49 %;4.45;54 %;0.95;44 %;34 %;0.7
Danny Davis;13-11-1;;"6' 2""";170 lbs.;--;;Jul 28, 1982;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
Brandon Davis;14-10-0;Killer B;"5' 10""";135 lbs.;"72""";Orthodox;May 08, 1990;4.68;35 %;4.62;58 %;0.74;42 %;57 %;0.1
Mike Davis;12-3-0;Beast Boy;"6' 0""";155 lbs.;"72""";Orthodox;Oct 07, 1992;4.73;53 %;5.23;54 %;2.4;44 %;60 %;0.8
Hakeem Dawodu;13-4-1;Mean;"5' 8""";145 lbs.;"73""";Orthodox;Jul 02, 1991;5.45;50 %;3.37;56 %;0.0;0 %;65 %;0.0
Grant Dawson;23-2-1;KGD;"5' 10""";155 lbs.;"72""";Switch;Feb 20, 1994;3.2;52 %;2.11;44 %;3.87;40 %;57 %;1.1
Jason Day;19-12-0;Dooms;"6' 0""";185 lbs.;"72""";Orthodox;May 19, 1981;3.61;54 %;3.46;47 %;1.13;100 %;0 %;0.0
Martin Day;8-6-0;The Spartan;"5' 10""";145 lbs.;"73""";Orthodox;Nov 10, 1988;3.97;45 %;3.79;53 %;0.72;60 %;65 %;0.5
Angel De Anda;18-6-0;The Dream;"5' 9""";225 lbs.;--;Orthodox;May 28, 1985;5.68;46 %;6.32;47 %;0.0;0 %;0 %;0.0
Yorgan De Castro;6-3-0;The Mad Titan;"6' 0""";250 lbs.;"74""";Orthodox;Dec 19, 1986;2.46;43 %;3.85;53 %;0.0;0 %;77 %;0.0
Geraldo de Freitas;12-6-0;Spartan;"5' 7""";135 lbs.;"72""";Orthodox;Sep 30, 1991;3.67;52 %;2.62;50 %;3.0;45 %;59 %;0.0
Philip De Fries;12-6-0 (1 NC);;"6' 5""";250 lbs.;"79""";Orthodox;Apr 21, 1986;2.3;47 %;3.0;37 %;3.29;42 %;100 %;0.6
Chris de la Rocha;5-3-0;;"6' 3""";250 lbs.;"80""";Orthodox;May 15, 1979;4.08;45 %;6.37;43 %;2.02;30 %;33 %;1.0
Montana De La Rosa;13-9-1;;"5' 7""";125 lbs.;"68""";Orthodox;Feb 14, 1995;2.9;37 %;3.39;45 %;1.85;33 %;68 %;0.8
Mark De La Rosa;11-5-0;Bumblebee;"5' 6""";135 lbs.;"65""";Orthodox;Aug 31, 1994;3.13;35 %;5.0;48 %;0.54;13 %;40 %;0.2
Mike de la Torre;14-7-0 (1 NC);El Cucuy;"5' 11""";145 lbs.;"71""";Orthodox;Sep 22, 1986;3.21;39 %;4.75;51 %;0.36;16 %;83 %;0.0
Rodrigo de Lima;8-3-1;Monstro;"5' 7""";155 lbs.;--;Orthodox;Mar 12, 1991;1.29;33 %;5.5;32 %;2.66;36 %;0 %;1.3
Edilberto de Oliveira;29-15-2;Crocota;"6' 0""";170 lbs.;--;Orthodox;Nov 22, 1982;4.12;32 %;6.79;61 %;0.0;0 %;0 %;0.0
Johil de Oliveira;17-15-1 (1 NC);;"5' 6""";170 lbs.;--;Orthodox;Aug 07, 1969;0.51;34 %;0.73;58 %;1.1;50 %;44 %;0.6
Jorge de Oliveira;9-2-0;Blade;"5' 8""";155 lbs.;--;Orthodox;Jan 22, 1980;1.26;31 %;4.84;48 %;0.0;0 %;22 %;0.0
Jair De Oliveira;6-1-0;Mamute;"5' 9""";205 lbs.;"69""";;May 09, 1996;3.98;60 %;3.45;69 %;0.0;0 %;0 %;0.0
Isabela de Padua;5-2-0;Belinha;"5' 3""";125 lbs.;"64""";Orthodox;Sep 04, 1991;1.0;35 %;2.07;50 %;2.0;66 %;0 %;1.0
Gloria de Paula;6-5-0;Glorinha;"5' 5""";115 lbs.;"67""";Orthodox;Jun 10, 1995;4.89;53 %;3.77;66 %;0.74;37 %;65 %;0.5
Germaine de Randamie;10-5-0;The Iron Lady;"5' 9""";135 lbs.;"71""";Orthodox;Apr 24, 1984;2.57;46 %;2.0;65 %;0.0;0 %;65 %;0.4
Reinier de Ridder;21-3-0;RdR;"6' 4""";185 lbs.;"78""";Southpaw;Sep 07, 1990;2.2;53 %;2.04;48 %;2.68;30 %;50 %;0.7
Crezio de Souza;1-2-0;;--;170 lbs.;--;Orthodox;--;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
Carl Deaton;17-7-0 (2 NC);The Anishinaabe Kid;"5' 7""";155 lbs.;"69""";Orthodox;Nov 24, 1989;1.53;31 %;1.85;61 %;0.0;0 %;50 %;0.0
Tom DeBlass;9-2-0;;"6' 0""";185 lbs.;--;Orthodox;May 14, 1982;1.5;35 %;4.43;37 %;1.0;50 %;28 %;0.5
Issac DeJesus;12-7-1 (1 NC);;--;145 lbs.;--;;--;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
Rafael  Del Real;6-20-0;;"5' 11""";225 lbs.;--;;--;5.58;40 %;0.0;0 %;20.93;100 %;100 %;0.0
Shane del Rosario;11-2-0;;"6' 4""";250 lbs.;--;Southpaw;Sep 23, 1983;3.93;60 %;2.97;54 %;1.2;40 %;16 %;2.4
Wallen Del Rosario;8-2-0;;"5' 4""";125 lbs.;"67""";Orthodox;Mar 18, 1993;1.4;32 %;4.73;40 %;1.0;16 %;100 %;0.0
Yadier del Valle;9-0-0;The Cuban Problem;"5' 9""";145 lbs.;"69""";Southpaw;Jul 29, 1996;7.49;67 %;3.46;52 %;2.51;42 %;66 %;1.7
Jose Delano;16-3-0;;"5' 8""";145 lbs.;"70""";Orthodox;Sep 11, 1996;9.73;65 %;2.53;72 %;0.0;0 %;60 %;0.0
Humberto DeLeon;7-7-0;;--;135 lbs.;--;;Nov 12, 1989;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
Rolando Delgado;11-6-1;Roli;"6' 3""";155 lbs.;"77""";Orthodox;Nov 22, 1981;1.56;40 %;1.83;62 %;1.17;22 %;0 %;3.5
Israel Delgado;0-2-0;;"5' 10""";155 lbs.;--;;--;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
Jose Delgado;10-1-0;;"5' 11""";145 lbs.;"74""";Switch;Apr 21, 1998;7.13;49 %;3.67;55 %;4.58;60 %;71 %;0.0
Ante Delija;26-6-0;Walking Trouble;"6' 3""";239 lbs.;"78""";Orthodox;Aug 07, 1990;6.34;46 %;1.95;55 %;0.0;0 %;0 %;0.0
Jack Della Maddalena;18-2-0;;"5' 11""";170 lbs.;"73""";Switch;Sep 10, 1996;6.84;52 %;4.53;64 %;0.16;11 %;69 %;0.2
Roland Delorme;9-5-0 (1 NC);;"5' 9""";135 lbs.;"71""";Orthodox;Dec 18, 1983;2.28;44 %;4.32;40 %;2.51;34 %;42 %;1.6
Jon Delos Reyes;8-5-0;The Heat;"5' 6""";125 lbs.;"67""";Orthodox;Aug 19, 1987;2.99;38 %;4.14;51 %;3.2;83 %;55 %;1.9
Jason DeLucia;33-21-1;;"5' 11""";190 lbs.;--;Southpaw;Jul 24, 1969;0.0;0 %;0.0;0 %;0.0;0 %;0 %;0.0
